,0
AM,-0.27751571907869493
AbnormalAccruals,0.04615108077939867
Accruals,0.014459652320217387
AnalystRevision,0.05490145975600225
AnnouncementReturn,0.04072033111719809
AssetGrowth,-0.16865723030696786
BM,-0.30491738190602835
BMdec,-0.25703035958563014
BPEBM,-0.03608670576028814
Beta,0.07697753834851515
BetaLiquidityPS,-0.0190440969422878
BetaTailRisk,0.05113617306773771
BidAskSpread,-0.3361226866752186
BookLeverage,-0.020184175448765367
CBOperProf,0.20354254449416537
CF,0.06211964430136957
Cash,0.006650380141295273
CashProd,-0.228807824931334
ChAssetTurnover,-0.011368551512450873
ChEQ,-0.1785091067641693
ChInv,-0.06999518029917051
ChInvIA,-0.08003155420203724
ChNNCOA,-0.01490674606826407
ChNWC,0.006951201317142738
ChTax,0.08644929674153723
CompEquIss,0.05767289989661759
CompositeDebtIssuance,-0.07271066606150299
CoskewACX,0.14556258164257618
DelCOA,-0.09894628175902816
DelCOL,-0.10480567132044859
DelEqu,-0.18283246155062077
DelFINL,-0.05780555837632343
DelLTI,-0.0038614762600938284
DelNetFin,0.0020034606753650546
DolVol,-0.9397073083359052
EBM,-0.29587301648243985
EP,-0.10750628437274497
EarnSupBig,0.006286951324882307
EarningsStreak,0.056939534665051784
EarningsSurprise,0.016262846644322846
EntMult,-0.12878774666149168
EquityDuration,-0.09193842603788603
ExclExp,-0.033755917454939506
FEPS,0.28765064066782997
ForecastDispersion,0.11628019341302019
GP,0.010471965317319526
Herf,-0.047180009431617535
HerfBE,-0.05563771411942184
IdioVol3F,0.22366575714301196
IdioVolAHT,0.2846880057914738
Illiquidity,-0.887511875292264
IndMom,0.019545751657399822
IndRetBig,0.007376999718153056
IntMom,0.15645337841535994
IntanBM,-0.23992085998060447
IntanCFP,-0.1139856428402393
IntanEP,-0.11113062181574922
IntanSP,-0.24962138202600437
InvGrowth,-0.061871461543042204
InvestPPEInv,-0.12394252193062212
Investment,-0.0704160959230323
LRreversal,-0.2077883031543446
Leverage,-0.1691456790685682
MaxRet,0.1367206976181677
MeanRankRevGrowth,-0.1420569757697305
Mom12m,0.1986984503440899
Mom12mOffSeason,0.1688197018772725
Mom6m,0.14942993304557195
MomOffSeason,-0.21593516984125902
MomOffSeason06YrPlus,-0.1272366538970266
MomSeason,0.07765656187795132
MomSeason06YrPlus,0.05256472105278187
MomSeason11YrPlus,0.03959701977690166
MomSeasonShort,0.08070662052289508
NOA,-0.15335568005708583
NetDebtFinance,-0.052031846246841616
NetDebtPrice,-0.07550205592614406
NetEquityFinance,0.13568531209177595
NetPayoutYield,0.11470433684471355
OPLeverage,-0.05560453369360468
PctAcc,0.0436935390186086
PctTotAcc,-0.12285861022026004
Price,-0.6190802828946966
PriceDelayRsq,-0.5754849275671247
RD,-0.14142385689675
RDS,-0.24187060956559445
REV6,0.03265922495772114
RealizedVol,0.1494691289060888
ResidualMomentum,0.0264243463544681
ReturnSkew,0.025571495554178512
ReturnSkew3F,0.014849388343382706
RevenueSurprise,0.031070523161627697
RoE,0.2641726638492407
STreversal,-0.08485102928460757
ShareIss1Y,-0.015015622923924278
ShareIss5Y,0.00668011230686846
Size,-0.8806055587765396
Tax,0.1223121044357002
TotalAccruals,-0.12336525101795572
TrendFactor,4.7070884860444155e-05
VolSD,-0.6788352382292457
XFIN,0.05447007375510521
betaVIX,-0.007036636452694394
cfp,0.07544072642120644
dNoa,-0.12670512619808308
grcapx,-0.09331430295774147
grcapx3y,-0.12856195169785226
hire,-0.13901014226972308
roaq,0.2837268957152953
std_turn,-0.19288903940545257
zerotrade12M,-0.6927261647329706
zerotrade1M,-0.6872005491373
zerotrade6M,-0.701904982661172
